userid,age,gender,shopid,avg_rating,avg_price,clicked
1,22,M,315,4,4,0
1,16,F,431,3,4,1
1,62,F,489,3,2,1
1,12,M,398,0,4,1
1,76,M,307,3,3,0
1,54,M,490,1,4,0
1,38,M,308,2,4,1
1,56,M,400,3,2,1
1,65,F,426,0,3,0
2,48,F,328,3,2,1
2,30,F,305,2,3,0
2,57,M,412,3,4,1
2,54,M,233,3,2,0
2,20,M,101,3,2,0
2,29,F,120,4,4,1
3,52,F,452,4,1,0
3,49,F,232,0,4,1
3,14,F,305,3,4,1
3,17,M,440,3,4,0
3,51,F,399,1,3,0
3,53,M,124,1,3,0
3,30,F,146,0,2,1
3,34,F,407,1,3,1
3,55,M,232,1,2,1
3,73,M,484,1,4,0
3,45,M,466,3,3,0
3,28,F,402,3,2,0
4,77,M,143,2,4,0
4,22,M,103,3,2,1
4,66,M,145,0,4,0
4,14,M,178,3,3,0
4,44,F,234,2,2,0
4,79,F,129,0,4,1
4,24,M,318,4,3,1
4,24,F,281,4,4,1
4,11,M,428,4,2,1
4,10,F,387,4,2,1
4,53,F,220,4,2,0
4,77,M,173,4,3,1
6,39,M,288,1,2,0
6,44,M,223,3,2,0
6,62,M,337,0,2,0
6,57,M,134,2,3,0
6,23,M,129,1,2,0
6,37,F,396,1,4,1
6,17,F,223,1,2,1
6,38,M,328,2,3,0
6,54,F,430,2,2,0
6,70,F,155,3,4,1
6,33,M,289,2,2,1
6,64,M,233,1,4,1
7,25,F,421,3,2,0
7,52,F,331,3,2,0
7,32,F,250,3,2,1
7,29,F,223,4,4,0
7,56,F,318,3,3,1
7,41,M,425,0,2,0
7,31,F,264,4,2,0
7,74,F,401,2,2,0
7,24,M,454,2,2,0
10,26,M,229,2,3,1
10,38,F,471,2,4,0
10,71,M,133,3,4,0
10,46,M,281,2,3,0
10,76,M,316,0,4,0
10,47,M,383,2,2,1
10,39,M,308,3,2,0
10,61,M,329,3,2,1
10,45,M,371,2,4,0
10,64,M,275,1,4,0
10,28,M,173,1,2,0
10,79,F,275,4,3,1
10,34,F,406,4,4,1
10,45,M,187,2,3,1
10,73,M,452,2,4,0
10,17,F,191,2,3,1
10,59,M,419,2,2,0
10,45,F,256,3,2,0
11,50,F,150,1,4,0
11,61,F,138,2,2,1
11,28,F,364,2,2,0
11,50,F,385,1,3,1
11,18,M,153,2,4,1
11,74,F,238,1,4,1
11,43,M,350,2,3,1
11,66,F,326,4,2,0
11,32,F,381,1,2,1
12,24,F,230,1,1,1
12,68,M,244,4,2,0
12,23,F,330,3,3,1
12,77,M,361,0,2,0
12,62,M,294,4,2,0
12,72,M,335,0,4,0
12,15,M,292,1,4,0
12,76,F,270,2,3,0
12,17,F,295,4,1,1
14,52,M,313,4,4,1
14,57,M,463,3,4,1
14,36,F,435,1,1,1
14,78,F,193,1,4,1
14,31,M,379,1,3,1
14,46,F,418,0,4,1
14,16,M,423,4,4,1
14,30,M,149,4,4,0
14,36,M,113,4,4,1
14,36,M,112,2,4,0
14,24,F,355,3,2,0
14,31,M,454,2,1,0
14,78,F,193,0,1,1
15,28,F,110,0,2,1
15,74,M,243,4,4,0
15,14,F,405,2,4,1
15,22,F,256,4,4,0
