id,name,rating,tags,price_level,latitude,longitude,category_id,start_time,end_time,address,seller_id,icon_url
1,Comfort Inn & Suites LaGuardia Airport,2.5,,2,40.729223,-73.904625,3,00:00,24:00,"60-30 Maurice Ave, Maspeth, NY 11378",20,https://s3-media3.fl.yelpcdn.com/bphoto/pqdC4sbtLKBueJh9Sny_mw/o.jpg
2,Sushi Yasaka,4.0,"delivery, pickup",2,40.779583,-73.983482,2,12:00,22:00,"251 W 72nd St, New York, NY 10023",3,https://s3-media4.fl.yelpcdn.com/bphoto/_U6FaHQbA_44sUQBVlI9_Q/o.jpg
3,K Rico Steakhouse,4.5,restaurant_reservation,3,40.76438,-73.9880699,2,16:00,24:00,"772 9th Ave, New York, NY 10019",15,https://s3-media4.fl.yelpcdn.com/bphoto/_x0VCHaFT8GECZ-Gumen2g/o.jpg
4,Sheraton New York Hotel & Towers,3.0,,3,40.7625828095845,-73.9819067716599,3,12:00,18:00,"790 7th Ave, New York, NY 10019",11,https://s3-media3.fl.yelpcdn.com/bphoto/RcUWpexhVUwwy71bLycjlQ/o.jpg
5,Da Vinci Hotel,3.0,,2,40.765644,-73.983001,3,12:00,18:00,"244 W 56th St, New York, NY 10019",20,https://s3-media4.fl.yelpcdn.com/bphoto/YGpR6EZ7wKfLg1M-afbfDQ/o.jpg
6,Rachel Cho Floral Design,5.0,,2,40.752254972767,-74.0066792496597,5,09:00,17:00,"633 W 27th St, 2nd Fl, New York, NY 10001",2,https://s3-media1.fl.yelpcdn.com/bphoto/D9h66cG88T6TcCwvguWxAg/o.jpg
7,Travelodge by Wyndham South Hackensack,1.5,,2,40.85817,-74.05033,3,12:00,18:00,"636 Huyler St, South Hackensack, NJ 07606",15,https://s3-media1.fl.yelpcdn.com/bphoto/yWrVghm6L-vcDvA346ntUQ/o.jpg
8,The Gray Mare,4.5,,2,40.726043,-73.989936,2,14:00,03:30,"61 2nd Ave, New York, NY 10003",17,https://s3-media1.fl.yelpcdn.com/bphoto/qeM9L9SYoDyYCmnSo60PmA/o.jpg
9,The Cellar,4.0,,2,40.73889,-73.9897,2,12:00,22:00,"900 Broadway, New York, NY 10003",16,https://s3-media1.fl.yelpcdn.com/bphoto/_q5G-1Be50eOTr25jI3OKg/o.jpg
10,Oda House,4.0,"delivery, pickup, restaurant_reservation",2,40.7240282,-73.9821844,2,16:00,23:00,"76 Ave B, New York, NY 10009",24,https://s3-media1.fl.yelpcdn.com/bphoto/vSWNBIDIJoveEDRUDDCcLw/o.jpg
11,Holiday Inn Express Times Square South,3.5,,2,40.7504909,-73.98605,3,00:00,24:00,"60 W 36th St, New York, NY 10018",12,https://s3-media2.fl.yelpcdn.com/bphoto/0WQ--Iz4XqRWHKpVpB-wug/o.jpg
12,Donhauser Florist,5.0,,2,40.76733,-73.89775,5,09:00,17:00,"71-01 Astoria Blvd N, East Elmhurst, NY 11370",11,https://s3-media1.fl.yelpcdn.com/bphoto/m0PjT-lSsxlO18ZgzdjOQQ/o.jpg
13,Violet's Florist,5.0,,1,40.7540998,-73.9671254,5,09:00,18:00,"342 E 50th St, New York, NY 10022",23,https://s3-media3.fl.yelpcdn.com/bphoto/WHeoSpE44ibR37bxSHMGAw/o.jpg
14,Edible Arrangements,2.5,,2,40.7165228,-73.8078261,5,08:00,07:00,"82-71 Parsons Blvd, Jamaica, NY 11432",19,https://s3-media1.fl.yelpcdn.com/bphoto/SoRX_Lg0kdjh69Sq8jYvtg/o.jpg
15,886,4.0,"restaurant_reservation, delivery, pickup",2,40.72877,-73.98873,2,12:00,23:00,"26 Saint Marks Pl, New York, NY 10003",22,https://s3-media4.fl.yelpcdn.com/bphoto/upmsqRehunyKxIyeVv81IQ/o.jpg
16,Hotel Wales,3.0,,3,40.78481,-73.95575,3,00:00,24:00,"1295 Madison Ave, New York, NY 10128",12,https://s3-media3.fl.yelpcdn.com/bphoto/ZpYAK2sjtpC7Rtd5QkiRfQ/o.jpg
17,Florist Hills & Garden Center,3.5,,2,40.715319,-73.859561,5,12:00,18:00,"6819 Woodhaven Blvd, Rego Park, NY 11374",24,https://s3-media2.fl.yelpcdn.com/bphoto/93nvDrINFKCZz5tGCOG6Fw/o.jpg
18,Schweinfurth Florist,5.0,,2,40.991405,-74.1497794,5,09:00,17:00,"85 Hillside Ave, Midland Park, NJ 07432",5,https://s3-media2.fl.yelpcdn.com/bphoto/dGPcP0pbkD-p1fhUV8KZPw/o.jpg
19,Brookside Garden Center & Florist,4.0,,2,40.812782,-74.193862,5,08:00,17:00,"551 Broad St, Bloomfield, NJ 07003",1,https://s3-media1.fl.yelpcdn.com/bphoto/iupWxNrPR7Fw8DRN9kinUA/o.jpg
20,Clay Pot - East Village,4.5,"pickup, delivery",2,40.7279880270274,-73.9865907985248,2,17:00,22:00,"58 St Mark's Pl, New York, NY 10003",5,https://s3-media3.fl.yelpcdn.com/bphoto/3sfoNZ7LD5w7X9EyWLZVyg/o.jpg
21,La Contenta,4.5,"delivery, pickup",2,40.71873,-73.98691,2,16:00,24:00,"102 Norfolk St, New York, NY 10002",3,https://s3-media2.fl.yelpcdn.com/bphoto/FwZAyPgdKdPGQ8aAGKh3-w/o.jpg
22,Manhattan Getaways,3.0,,2,40.76633,-73.9843099,3,12:00,18:00,"314 W 56th St, New York, NY 10019",3,/static/image/shopcover/default.jpg
23,Millburn Florist,3.5,,2,40.72388,-74.30607,5,09:00,17:00,"322 Millburn Ave, Millburn, NJ 07041",14,https://s3-media2.fl.yelpcdn.com/bphoto/WCAKYpEn6MZA75XwVLT5_w/o.jpg
24,Pure Yoga,3.5,,3,40.78189,-73.97973,4,06:00,21:00,"204 W 77th St, New York, NY 10024",7,https://s3-media2.fl.yelpcdn.com/bphoto/Ban4RvfiRcCqrQw3iYOGQg/o.jpg
25,BCD Tofu House,4.0,,2,40.747503631444,-73.9862447208321,2,09:30,01:30,"5W 32nd St, New York, NY 10001",22,https://s3-media2.fl.yelpcdn.com/bphoto/o1UZWG8neCdH5M4jzS_lig/o.jpg
26,Plus Seaport Inn Downtown,3.5,,2,40.70798,-74.00144,3,00:00,24:00,"33 Peck Slip, New York, NY 10038",5,https://s3-media4.fl.yelpcdn.com/bphoto/alt654Nke_fcDUien8Rvkg/o.jpg
27,Casey's Flower Studio,4.0,,3,40.7337629052227,-73.9995986223221,5,09:00,19:30,"1 Greenwich Ave, New York, NY 10011",9,https://s3-media3.fl.yelpcdn.com/bphoto/lY28-HyCfxU8tUbnd3Fzrg/o.jpg
28,Brindle Room,4.0,"restaurant_reservation, delivery, pickup",2,40.72829,-73.98271,2,17:00,23:00,"277 E 10th St, New York, NY 10009",3,https://s3-media4.fl.yelpcdn.com/bphoto/SM_9nK6XC4Zv1eL6qMPivQ/o.jpg
29,Windsor Hotel,1.5,,2,40.71864,-73.99256,3,12:00,18:00,"108 Forsyth St, New York, NY 10002",7,https://s3-media4.fl.yelpcdn.com/bphoto/MGx8ze9Hp3ZuL0mbbIrvNw/o.jpg
30,Park Lane Hotel,3.0,,3,40.7650999,-73.97525,3,00:00,24:00,"36 Central Park South, New York, NY 10019",21,https://s3-media2.fl.yelpcdn.com/bphoto/CAUArp5hvDt9kaZUlMAkcQ/o.jpg
31,Atlantic Motor Inn,1.0,,1,40.67724,-73.93168,3,12:00,18:00,"1768 Atlantic Ave, Brooklyn, NY 11213",7,https://s3-media3.fl.yelpcdn.com/bphoto/iO1qelzOK-FmHFfEGFA0KQ/o.jpg
32,Sam Gregorio's Florist,4.5,,2,40.6288007012617,-74.116491283089,5,09:00,19:00,"814 Forest Ave, Staten Island, NY 10310",24,https://s3-media1.fl.yelpcdn.com/bphoto/pz2S2Pb1ZnDCl0-8zI48iA/o.jpg
33,Especially Yours,4.0,,2,40.67658,-74.29213,5,10:00,17:00,"13 N 20th St, Kenilworth, NJ 07033",10,https://s3-media2.fl.yelpcdn.com/bphoto/BD7s1TTsqGNQHbxa4WA0nQ/o.jpg
34,Maison Premiere,4.0,,3,40.7142031,-73.9614855,2,14:00,02:00,"298 Bedford Ave, Brooklyn, NY 11249",3,https://s3-media3.fl.yelpcdn.com/bphoto/sYBR9fpPCOcYF6mE6eQ2MA/o.jpg
35,James Weir Floral Company,4.0,,2,40.694608,-73.993203,5,08:00,19:00,"107 Montague Street, Brooklyn, NY 11201",16,https://s3-media1.fl.yelpcdn.com/bphoto/klHIs7_2Qlp0ZHpMCyZ2yw/o.jpg
36,Hilton Garden Inn Queens/JFK Airport,3.0,,2,40.665761243085,-73.8062596321106,3,00:00,24:00,"148-18 134th St, Jamaica, NY 11430",18,https://s3-media3.fl.yelpcdn.com/bphoto/vV3Ny9R3wHX-27CPuRAv2Q/o.jpg
37,El Almacen,4.0,"delivery, pickup",2,40.71679,-73.9564,2,17:00,23:00,"557 Driggs Ave, Brooklyn, NY 11211",8,https://s3-media3.fl.yelpcdn.com/bphoto/Ag--UOP37Sp2M3DYDGaQfQ/o.jpg
38,Otaku Katsu,4.5,"delivery, pickup",2,40.719384,-73.986529,2,12:00,22:00,"137 Rivington St, New York, NY 10002",19,https://s3-media2.fl.yelpcdn.com/bphoto/3re0gN6SlWuhOkkaCjAgeg/o.jpg
39,Pod 39 Hotel,3.5,,2,40.74925,-73.9766807,3,00:00,24:00,"145 E 39th St, New York, NY 10016",7,https://s3-media3.fl.yelpcdn.com/bphoto/Vf2OL6mwfxotvhejsqKQMw/o.jpg
40,Dekalb Market Hall,4.0,"delivery, pickup",2,40.691025,-73.983311,2,07:00,22:00,"445 Albee Square W, Basement Level, Brooklyn, NY 11201",1,https://s3-media1.fl.yelpcdn.com/bphoto/p3HJcEcHV7KuX0XVh30KUA/o.jpg
41,Bloomery Flower Studio,5.0,,2,40.9044026,-74.4100882,5,11:00,17:00,"137 Plane St, Boonton, NJ 07005",24,https://s3-media1.fl.yelpcdn.com/bphoto/2t_XjIOlYcxeJuzX2yG6-A/o.jpg
42,Thursday Kitchen,4.5,,2,40.7275,-73.9838,2,18:00,23:00,"424 E 9th St, New York, NY 10009",18,https://s3-media2.fl.yelpcdn.com/bphoto/5P_HFhM6w8cRK3IiCzrNTQ/o.jpg
43,Pylos,4.5,"delivery, pickup",3,40.72608,-73.98415,2,11:30,24:00,"128 E 7th St, New York, NY 10009",16,https://s3-media1.fl.yelpcdn.com/bphoto/gQdXP4qPNl1IVCWRcH6M4Q/o.jpg
44,99 Favor Taste,4.0,restaurant_reservation,2,40.6355691,-74.0115482,2,11:00,02:00,"732 61st St, Brooklyn, NY 11220",5,https://s3-media3.fl.yelpcdn.com/bphoto/3-UDqzPN5XbWYhlatDXIiA/o.jpg
45,City Blossoms,4.5,,2,40.7520566,-73.9696424,5,09:00,18:00,"312 E 46th St, New York, NY 10017",5,https://s3-media3.fl.yelpcdn.com/bphoto/ejEn4z6QaWRX_NUvVjvcKw/o.jpg
46,Holiday Inn NYC - Lower East Side,4.0,,2,40.718292,-73.98624,3,00:00,24:00,"150 Delancey, New York, NY 10002",13,https://s3-media1.fl.yelpcdn.com/bphoto/SZn6I6VMAMWD6iTcND6pag/o.jpg
47,Flowers By Ivona,5.0,,3,40.7657243,-73.9812057,5,09:00,17:00,"141 W 28th St, Fl 2, New York, NY 10001",14,https://s3-media3.fl.yelpcdn.com/bphoto/ATUPCSd4pw3ZjLR9fvHe9g/o.jpg
48,"The Lexington Hotel, Autograph Collection",3.0,,3,40.7547993228675,-73.9732185006142,3,00:00,24:00,"511 Lexington Ave, New York, NY 10017",6,https://s3-media2.fl.yelpcdn.com/bphoto/NqDvfryDLyPjEjrbXYYSEw/o.jpg
49,The Tang - Upper West Side,4.5,"delivery, restaurant_reservation, pickup",2,40.80005,-73.966393,2,11:00,22:30,"920 Amsterdam Ave, New York, NY 10025",5,https://s3-media3.fl.yelpcdn.com/bphoto/uNjNuc-pjoRbYNpompLGWw/o.jpg
50,Balvanera,4.5,"delivery, pickup",3,40.72063,-73.98539,2,17:00,23:00,"152 Stanton St, New York, NY 10002",24,https://s3-media2.fl.yelpcdn.com/bphoto/8HIGsOHlAijBmRcMMmJykQ/o.jpg
51,Sunday in Brooklyn,4.0,"delivery, pickup",2,40.714145,-73.965322,2,08:30,22:00,"348 Wythe Ave, Brooklyn, NY 11249",9,https://s3-media2.fl.yelpcdn.com/bphoto/aQ6Q-J6s4imnnsxnfVASjw/o.jpg
52,Holiday Inn New York JFK Airport Area,3.0,,2,40.641603,-73.743078,3,00:00,24:00,"15471 Brookville Blvd, Rosedale Jamaica Queens, NY 11422",10,https://s3-media2.fl.yelpcdn.com/bphoto/A6Ou1Wg8wtXmEc2b8MJWVA/o.jpg
53,Heather Floral,4.5,,3,40.7652093,-73.9797363,5,08:00,18:00,"152 West 57th St, Inside the lobby of Carnegie Hall Tower, next to Carnegie Hall, New York, NY 10019",6,https://s3-media3.fl.yelpcdn.com/bphoto/U_k1dvqXiKYGTsLC7FDlGA/o.jpg
54,Pure Yoga,3.5,,3,40.7788848876953,-73.9534606933594,4,06:00,21:00,"203 E 86th St, New York, NY 10028",1,https://s3-media4.fl.yelpcdn.com/bphoto/X_iZYDZDfS9iFZneVhRunQ/o.jpg
55,Uglyduckling,4.0,"restaurant_reservation, delivery, pickup",2,40.686023,-73.991302,2,16:00,23:00,"166 Smith St, Brooklyn, NY 11201",17,https://s3-media3.fl.yelpcdn.com/bphoto/sCDU8uosDuxp26wjxq4p4g/o.jpg
56,Bar Verde,4.5,"delivery, pickup",2,40.7260849061034,-73.9897361397743,2,15:00,23:00,"65 2nd Ave, New York, NY 10003",9,https://s3-media2.fl.yelpcdn.com/bphoto/ShI6EBUCkL4uEfnfaz9m8A/o.jpg
57,Kesté,4.0,"delivery, restaurant_reservation, pickup",2,40.709132,-74.004676,2,11:30,22:00,"77 Fulton St, New York, NY 10038",10,https://s3-media1.fl.yelpcdn.com/bphoto/Xtwi7lobwoi3sYSU-nctnA/o.jpg
58,Aunt Jake's,4.0,"pickup, delivery",2,40.73329,-73.99852,2,17:00,22:00,"47 W 8th St, New York, NY 10011",12,https://s3-media2.fl.yelpcdn.com/bphoto/wVpnpN_6lwUt9BGvKlZmJA/o.jpg
59,Pure Thai Cookhouse,4.0,pickup,2,40.764291,-73.988159,2,11:30,22:30,"766 9th Ave, New York, NY 10019",24,https://s3-media2.fl.yelpcdn.com/bphoto/QFYS-7MPGlOjUUy_2TkwLw/o.jpg
60,Golden Petal Florist,3.0,,1,40.76889,-74.03137,5,10:00,19:00,"2602 Bergenline Ave, Union City, NJ 07087",20,https://s3-media1.fl.yelpcdn.com/bphoto/JU6UT2z5T0g3WAg1PG2yPQ/o.jpg
61,Tribeca Florists,1.5,,4,40.70863,-74.01466,5,09:00,17:00,"40 Rictor St, New York, NY 10006",2,https://s3-media2.fl.yelpcdn.com/bphoto/empJt_dkrBtOJb6Fpro2_A/o.jpg
